algo,run_tag,seed,timesteps,pct_of_training,wall_clock_min,success_rate_within_time_fraction,reached_at_all_rate,avg_steps_to_reach,avg_final_distance,avg_min_distance
ddpg,noise03,2,550000,55.0,79.1,0.0,0.0,,0.10670327224567433,0.10277718691032904
ddpg,noise03,2,575000,57.5,82.71666666666667,0.0,0.0,,0.16705882236388625,0.13616068392251596
ddpg,noise03,2,600000,60.0,86.3,0.0,0.0,,0.1279292115395261,0.12449442302365432
ddpg,noise03,2,625000,62.5,89.88333333333334,0.1,0.1,100.0,0.0806063502936409,0.07417444186620666
ddpg,noise03,2,650000,65.0,93.51666666666667,0.0,0.0,,0.12120549801845448,0.1150795658009494
ddpg,noise03,2,675000,67.5,97.18333333333334,0.0,0.0,,0.08049855236507207,0.07909519934202859
ddpg,noise03,2,700000,70.0,100.8,0.0,0.0,,0.10100859400962296,0.09555794008067135
ddpg,noise03,2,725000,72.5,104.48333333333333,0.0,0.0,,0.07758974137987826,0.07593912255790067
ddpg,noise03,2,750000,75.0,108.15,0.0,0.0,,0.07616866371510549,0.07612083265864811
ddpg,noise03,2,775000,77.5,111.81666666666666,0.2,0.2,75.5,0.09382581537110325,0.071138050147138
ddpg,noise03,2,800000,80.0,115.5,0.0,0.0,,0.14509699851117774,0.1440326839721585
ddpg,noise03,2,825000,82.5,119.13333333333334,0.0,0.0,,0.07989271738244799,0.061344325919150844
ddpg,noise03,2,850000,85.0,122.83333333333333,0.0,0.0,,0.0967034162908117,0.09340257204453736
ddpg,noise03,2,875000,87.5,126.48333333333333,0.0,0.0,,0.14079047603286726,0.14074593033455762
ddpg,noise03,2,900000,90.0,130.26666666666668,0.3,0.3,87.33333333333333,0.09187961051426019,0.08415778877588252
ddpg,noise03,2,925000,92.5,133.98333333333332,0.3,0.3,80.0,0.07923299302962324,0.07026052549336652
ddpg,noise03,2,950000,95.0,137.75,0.2,0.2,81.5,0.08932057937103899,0.07772002530975534
ddpg,noise03,2,975000,97.5,141.46666666666667,0.0,0.0,,0.09334544851609075,0.08924243710759945
ddpg,noise03,2,1000000,100.0,145.03333333333333,0.1,0.1,90.0,0.060945686782730435,0.060871983851252406
